                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8793,                 3.2923,                 3.6539,                0.21957,                0.28696,                0.13834,                0.04069,                 2.2566,                 5.3172,                 3.2639,             0.00066357,             0.00066357,             0.00066357
                      1,                 1.9134,                 2.0626,                 2.4355,                0.77787,                0.53201,                 0.6041,                0.32524,                 1.7758,                 2.4564,                 2.3018,              0.0013171,              0.0013171,              0.0013171
                      2,                 1.4956,                  1.436,                 1.9461,                0.83021,                 0.6062,                0.71352,                0.47306,                 1.4168,                 1.4763,                 2.0093,              0.0019574,              0.0019574,              0.0019574
                      3,                 1.2979,                 1.1942,                 1.7449,                0.83575,                0.72322,                0.78796,                0.52275,                  1.303,                 1.1997,                 1.8957,              0.0019406,              0.0019406,              0.0019406
                      4,                 1.1873,                 1.0675,                 1.6309,                 0.8508,                0.79493,                0.83008,                0.57913,                 1.1784,                 1.0148,                 1.7107,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.1285,                   1.01,                  1.575,                0.83825,                0.81899,                0.85052,                0.59815,                 1.1346,                0.88279,                 1.6717,              0.0019208,              0.0019208,              0.0019208
                      6,                  1.087,                0.94509,                 1.5392,                0.86839,                0.81694,                0.83701,                0.59365,                 1.1075,                0.85399,                 1.6285,               0.001901,               0.001901,               0.001901
                      7,                 1.0461,                0.88999,                 1.5043,                0.86666,                0.83556,                0.86048,                0.61787,                 1.1245,                0.82323,                 1.6071,              0.0018812,              0.0018812,              0.0018812
                      8,                 1.0118,                0.86431,                 1.4612,                0.86547,                0.82571,                 0.8472,                0.61286,                  1.065,                0.87862,                 1.5539,              0.0018614,              0.0018614,              0.0018614
                      9,                0.99908,                0.84474,                 1.4554,                0.87731,                0.85326,                0.87437,                0.64929,                0.99478,                0.79673,                   1.47,              0.0018416,              0.0018416,              0.0018416
                     10,                0.96956,                0.81034,                 1.4306,                0.84718,                0.84284,                0.86689,                0.64221,                 1.0147,                0.77232,                 1.5109,              0.0018218,              0.0018218,              0.0018218
                     11,                0.94189,                0.78681,                 1.4123,                0.87886,                0.83877,                0.86258,                0.64922,                0.98387,                0.77694,                 1.4609,               0.001802,               0.001802,               0.001802
                     12,                0.91406,                 0.7457,                  1.389,                0.85889,                0.83789,                0.85996,                0.63699,                 1.0172,                0.72382,                 1.4944,              0.0017822,              0.0017822,              0.0017822
                     13,                0.91296,                0.77217,                 1.3799,                0.87901,                0.86612,                0.88012,                0.67326,                0.95653,                0.70228,                  1.436,              0.0017624,              0.0017624,              0.0017624
                     14,                0.88248,                0.73528,                 1.3639,                0.87919,                0.86525,                0.85813,                0.64624,                0.93435,                 0.7246,                 1.4137,              0.0017426,              0.0017426,              0.0017426
                     15,                0.89428,                0.73771,                 1.3588,                0.88137,                0.86292,                0.88427,                0.65721,                0.93626,                0.67541,                 1.3913,              0.0017228,              0.0017228,              0.0017228
                     16,                0.88128,                0.72625,                  1.357,                0.88181,                0.86816,                0.88716,                 0.6794,                0.91644,                0.68445,                 1.3942,               0.001703,               0.001703,               0.001703
                     17,                0.85854,                 0.7058,                  1.346,                0.87638,                 0.8603,                0.88445,                0.66937,                0.92437,                 0.6931,                  1.407,              0.0016832,              0.0016832,              0.0016832
                     18,                0.84159,                 0.6959,                 1.3241,                0.87925,                0.85825,                0.88579,                0.67675,                0.90814,                0.66891,                  1.384,              0.0016634,              0.0016634,              0.0016634
                     19,                0.82737,                0.68393,                 1.3181,                0.89383,                  0.867,                0.88887,                0.68756,                0.90361,                0.65253,                 1.3813,              0.0016436,              0.0016436,              0.0016436
                     20,                0.80964,                0.68164,                 1.3095,                0.87791,                0.87683,                0.89918,                0.69354,                0.86292,                0.66191,                  1.346,              0.0016238,              0.0016238,              0.0016238
                     21,                0.82728,                 0.6771,                   1.31,                0.85742,                0.87165,                0.88599,                0.67851,                0.88915,                 0.6467,                 1.3707,               0.001604,               0.001604,               0.001604
                     22,                0.82439,                  0.678,                  1.309,                0.88923,                  0.867,                0.89685,                0.69902,                0.83887,                0.64165,                 1.3171,              0.0015842,              0.0015842,              0.0015842
                     23,                0.81626,                0.67427,                 1.3071,                0.88387,                 0.8702,                0.89847,                0.70487,                0.85223,                0.63864,                 1.3233,              0.0015644,              0.0015644,              0.0015644
                     24,                0.79044,                0.66311,                 1.2919,                0.87708,                0.86805,                0.89882,                0.67316,                0.92786,                 0.6531,                 1.4102,              0.0015446,              0.0015446,              0.0015446
                     25,                0.79919,                0.66073,                 1.2909,                 0.8722,                0.86729,                0.88903,                0.68249,                0.84489,                0.71085,                 1.2821,              0.0015248,              0.0015248,              0.0015248
                     26,                0.78861,                0.65626,                 1.2838,                0.88408,                 0.8766,                0.90402,                0.71276,                 0.8236,                0.64952,                 1.2749,               0.001505,               0.001505,               0.001505
                     27,                0.78494,                0.63758,                 1.2792,                0.88692,                 0.8766,                0.90682,                0.72929,                0.79284,                0.62069,                 1.2452,              0.0014852,              0.0014852,              0.0014852
                     28,                0.79108,                0.63786,                 1.2867,                0.88134,                0.86641,                0.90238,                0.70723,                0.82026,                0.61086,                 1.2885,              0.0014654,              0.0014654,              0.0014654
                     29,                0.78011,                0.63361,                 1.2773,                 0.8801,                0.87806,                0.91155,                0.71521,                0.79929,                0.63885,                   1.26,              0.0014456,              0.0014456,              0.0014456
                     30,                0.77654,                0.64453,                 1.2737,                0.87652,                0.87893,                0.91037,                0.71851,                0.80876,                0.62536,                 1.2806,              0.0014258,              0.0014258,              0.0014258
                     31,                0.74657,                0.61896,                 1.2591,                0.88588,                0.88155,                0.91093,                 0.7265,                0.77545,                 0.5979,                 1.2502,               0.001406,               0.001406,               0.001406
                     32,                0.75928,                 0.6164,                 1.2645,                0.88569,                0.88844,                0.91699,                0.72864,                 0.8062,                0.60715,                 1.2664,              0.0013862,              0.0013862,              0.0013862
                     33,                0.74793,                0.61108,                  1.253,                0.89737,                0.86234,                0.90943,                0.72239,                0.76971,                0.62483,                 1.2505,              0.0013664,              0.0013664,              0.0013664
                     34,                0.73318,                0.60179,                 1.2489,                0.88185,                0.87398,                0.91212,                 0.7244,                0.80269,                0.61719,                 1.2529,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.7541,                0.61548,                 1.2483,                0.88365,                0.87312,                0.90199,                0.71895,                0.78986,                0.61919,                 1.2348,              0.0013268,              0.0013268,              0.0013268
                     36,                0.73174,                0.60439,                  1.238,                0.88181,                0.88161,                0.91554,                0.73574,                0.75856,                0.59162,                 1.1983,               0.001307,               0.001307,               0.001307
                     37,                0.74659,                0.61235,                 1.2544,                0.88744,                0.87835,                0.92029,                0.74064,                0.75805,                  0.578,                 1.2358,              0.0012872,              0.0012872,              0.0012872
                     38,                0.74279,                0.60093,                 1.2386,                0.88839,                0.88955,                0.92249,                0.74941,                0.73403,                 0.5773,                 1.1882,              0.0012674,              0.0012674,              0.0012674
                     39,                0.72943,                0.60281,                 1.2354,                0.89978,                0.87275,                0.91862,                0.73301,                0.75943,                0.59855,                 1.2057,              0.0012476,              0.0012476,              0.0012476
                     40,                0.70449,                0.57974,                 1.2179,                0.87793,                0.89376,                0.92099,                0.74743,                0.72984,                0.58552,                 1.2016,              0.0012278,              0.0012278,              0.0012278
                     41,                0.72577,                0.58725,                 1.2393,                0.88768,                 0.8878,                0.91757,                0.74715,                0.74131,                0.56848,                 1.2033,               0.001208,               0.001208,               0.001208
                     42,                0.71391,                0.58256,                  1.228,                0.89505,                0.87368,                0.91923,                0.75152,                0.73191,                0.58505,                 1.1797,              0.0011882,              0.0011882,              0.0011882
                     43,                0.71744,                0.58109,                 1.2209,                0.88497,                0.87993,                0.91696,                0.74741,                0.74147,                0.57742,                 1.1972,              0.0011684,              0.0011684,              0.0011684
                     44,                0.71314,                0.57766,                 1.2247,                0.89768,                0.88155,                0.92198,                0.75267,                0.72267,                0.56345,                 1.1787,              0.0011486,              0.0011486,              0.0011486
                     45,                0.71433,                0.57295,                 1.2298,                0.89849,                0.88096,                 0.9178,                0.75213,                0.71548,                0.58046,                 1.1629,              0.0011288,              0.0011288,              0.0011288
                     46,                0.70447,                0.57468,                  1.216,                0.89115,                0.88877,                0.91547,                0.75361,                0.70767,                0.56419,                 1.1584,               0.001109,               0.001109,               0.001109
                     47,                 0.7052,                0.57344,                 1.2144,                0.90517,                 0.8723,                0.91977,                0.75558,                  0.714,                0.57178,                 1.1646,              0.0010892,              0.0010892,              0.0010892
                     48,                 0.6945,                0.54683,                 1.2169,                0.88421,                0.88457,                0.92038,                0.75986,                0.72103,                0.57581,                 1.1606,              0.0010694,              0.0010694,              0.0010694
                     49,                0.68955,                0.56098,                 1.2128,                0.88587,                0.88777,                0.92384,                0.75758,                0.71309,                0.56598,                 1.1591,              0.0010496,              0.0010496,              0.0010496
                     50,                0.68367,                0.55654,                 1.2064,                0.87633,                0.88213,                0.91745,                0.75547,                0.71227,                 0.5894,                 1.1574,              0.0010298,              0.0010298,              0.0010298
                     51,                0.69086,                0.56305,                 1.2054,                0.89393,                0.89527,                0.92098,                0.75644,                0.70423,                0.55171,                 1.1507,                0.00101,                0.00101,                0.00101
                     52,                0.69247,                0.55324,                 1.2085,                0.88336,                0.88609,                0.92203,                 0.7633,                0.71299,                0.55511,                 1.1509,              0.0009902,              0.0009902,              0.0009902
                     53,                0.67948,                0.54076,                 1.1992,                 0.9021,                0.88388,                0.92543,                0.76776,                0.69553,                0.54016,                 1.1518,              0.0009704,              0.0009704,              0.0009704
                     54,                0.67767,                0.53318,                 1.2017,                0.88401,                0.88505,                0.92238,                0.76956,                0.69757,                0.54557,                 1.1443,              0.0009506,              0.0009506,              0.0009506
